RequirementText,Class
novice customer easily purchase streaming movie,US
product use word easy understand,US
website interacts user using standard convention,US
interface user system second response time,PE
purchasing streaming movie response time second,PE
stream buffering time take second,PE
stream buffering occur latency user connection,PE
credit card information encrypted database,SE
part website accessed via web browser,O
hardware used install new system,O
system interacts firefox browser,O
website interacts server process credit card transaction,O
website support java,O
movie available browser,O
movie encoded connection,O
update right take minute,PE
add new product website take minute,PE
help page contain support answer issue,US
product installed specified environment day,O
registered customer purchase streaming movie,SE
customer stream purchased movie,SE
authorized user access customer recorded data database,SE
administrator activate prepaid card,SE
authorized user access confidential information,SE
website prevents data corruption incorrect data entered,SE
website protected security abuse,SE
data integrity script check integrity database,SE
website notifies user privacy policy,SE
system notifies customer change information policy,SE
system show private information according policy,SE
customer information accessible authorized user,SE
credit card information encrypted database,SE
streaming server security software prevent virus,SE
website flash library animation home page,O
lead time completed minute,PE
lead report take second lead,PE
data recorded lead take second,PE
process fit within processing time constraint,PE
lead process operates within established architecture,O
process use neutral data format processing lead data,O
product support game simultaneously,PE
response time fast ensure flow game,PE
product mustnt provide player information another player,SE
user able complete game without training,US
product available player understand english,US
player havent permission access player data,SE
response time second,PE
caller supervisor able complete task minute,US
system easy learn caller supervisor,US
system fast responsive,PE
connection system response time second,PE
connection system response time second,PE
supervisor advertise empty time slot,SE
supervisor access advertise empty time slot,SE
administrator view schedule,SE
product easy administrator use day usage,US
product help administrator resolve issue transaction,US
product help administrator analyze transaction report,US
product provides asynchronous messaging avoid communication overhead,PE
product provides load balancing avoid traffic,PE
product process message second,PE
product asks system new message every second,PE
product provides scalability ensure service availability,PE
product enables access development environment,O
product protocol process message real time,O
product provides authentication authorization,SE
product enables privacy using encryption integrity checking,SE
product store message security audit purpose,SE
functionality navigation done mouse,US
interface adheres usability standard,US
report generated button click,US
user able use system without instruction,US
training session scheduled user,US
system symbol defined company,US
system installed window,O
system able update file,O
user must authenticated username password,SE
cooky containing confidential information user arent stored,SE
username password used authentication,SE
administrator authorized user edit setting,SE
second user able navigate home page,US
user able reach player management page click home page,US
user able view player information home page,US
application asks user confirmation action done,US
application able complete user transaction second,PE
application run web application server,O
primary database used store cached data,O
secondary database used store statistic data,O
user computer minimum hardware requirement,O
minimum software requirement hard disk,O
system interacts environment,O
authorized user access system,SE
user access limited right permission,SE
user able complete task defined time,US
response time second,PE
system invoked typing start,O
system mail protocol,O
system help system data screen,US
meeting scheduler accessed web,O
system user friendly manager chef,US
system quickly accessible manager chef,US
system intuitive display data,US
menu system easy navigate using button,US
second web page must downloadable connection,PE
response search take second load,PE
system display message user second,PE
network transaction confidential information must encrypted,SE
user must login according restricted access policy,SE
authorized user use system location,SE
different right access authorization,SE
data entry form application match microsoft excel copy,O
user able use application without instruction,US
system allows user view campus map map page,US
system provides return button home page,US
system periodic message,O
password used tablet login must bit strength,SE
password used tablet login must changed every month,SE
user login tablet security reason,SE
user cant login tablet simultaneously,SE
display requires user login,SE
surface computer requires user login,SE
tablet requires user login using username password,SE
response view information appear screen second,PE
system must use secured database,SE
unauthorized user read data without edit anything,SE
information transmission securely transmitted server,SE
market system interacts web server using api,O
valid user password required transaction,SE
secure data transfer internet provided using ssl encryption,SE
address transaction done recorded,SE
user password stored database encrypted format,SE
application update part changed,O
application change update information server,O
application must log user exited,SE
correct combination username password required,SE
log automatic hour inactivity,SE
full data backup created daily,SE
account securely store data,SE
system store location product sent,O
system ssl transaction confidential information,SE
system automatically log customer period inactivity,SE
system mustnt leave cooky customer computer containing password,SE
server accessible authenticated administrator,SE
confidential data encrypted sent insecure connection,SE
system provides data database redundant computer,O
system able provide information database catalog,O
system integrates service,O
system support user task,US
every client secure private access data,SE
system security mechanism prevent possibility data corruption,SE
system security mechanism prevent unauthorized access,SE
user trusted trusted,SE
high speed network connectivity required,PE
network connectivity fast operation data load,O
unique login password encoded database using sha2 algorithm,SE
system usage mustnt harm human user,SE
system protected database,SE
normal user read information without edit anything,SE
system different access constraint user,SE
customer must valid login enter site,SE
system must short response time,PE
data transaction client server must encrypted using ssl technology,SE
generated password stored encrypted database,SE
system generates pin user prevent attack,SE
user system must login using unique identification,SE
login done securely,SE
system compatible microsoft window,O
second overhead time database transaction time,PE
system secure communication ensure data confidentiality,SE
user permission defined outside scope system,SE
personal information security defined database server,SE
user required login operation,SE
system provides digital image product catalog,US
system provides use symbol button,US
system provides accessiibility according disability act,US
system provides multi language support,US
product run web server,O
product initial load time depends internet connection speed,PE
performance depends client hardware component,PE
system secured communication transaction,SE
system automatically log customer period inactivity,SE
system asks confirmation transaction,US
system mustnt leave cooky confidential data,SE
system mustnt leave cooky customer computer containing password,SE
web browser mustnt display customer password,SE
web browser mustnt display customer credit card number database,SE
system server mustnt display customer password,SE
system database encrypted,SE
system password per user login,SE
system ssl technology ensure transaction secure,SE
page application take second load,PE
system slow heavy load ensure service availability,PE
concurrent user supported without performance degradation,PE
secure server required ensure confidentiality customer credit card data,SE
interface system user friendly intuitive,US
take second account registration,US
take second user buy movie,US
website site map quickly access system,US
secondary server must available case heavy load,PE
identity theft security issue must solved,SE
