RequirementText,Class
system intuitive display data,US
projected data readable,US
product available player understand english,US
dispute colored easy status identification,US
product display time according user local time,US
product usable novice user,US
product standard navigation menu,US
user navigate page create account,US
caller supervisor able complete task minute,US
symbol word easy understand,US
system provides accessiibility according disability act,US
user able view player information home page,US
training session scheduled user,US
application asks user confirmation action done,US
user easily find instruction product usage,US
website site map quickly access system,US
add new user system take minute,US
user able complete task defined time,US
user able use system without instruction,US
user successfully create dispute first training,US
product intuitive easy,US
