RequirementText,Class,Percentage
'The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.',US,
'The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.',US,
'The product shall provide players no access to information that might reveal the identity of another player',SE,
'The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.',PE,
The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.',US,
The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.',US,
The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.',PE,
On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.',PE,
On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.',PE,
The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.',SE,
The product shall ensure that only supervisors can enter a caller’s schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.',SE,
The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.',SE,
'The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.',US,
'The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.',US,
'The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators)',US,
'The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications',PE,
'The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.',PE,
'The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds',PE,
'The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.',PE,
'The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.',PE,
'The product shall be platform independent.The product shall enable access to any type of development environment and platform.',O,
'The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.',O,
'The product shall have security.The product shall provide authentication and authorization.',SE,
'The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.',SE,
'The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.',SE,
'The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard',US,
'The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.',US,
'Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report)',US,
'A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.',US,
'All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available)',US,
'The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.',US,
'The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.',O,
'The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.',O,
'The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.',SE,
'The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user’s computer.',SE,
'Each team owner will need to use a username and password in order to be authenticated to reach the team owner’s page',SE,
'The Commissioner will be the only authorized user per league to adjust league settings.',SE,
'A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.',US,
'Users shall be able to reach the ‘add’ ‘drop’ and ‘trade player’ pages with one click from the team owner’s page.',US,
'Users shall be able to view at least 25 NFL player statistics and points on each page.',US,
'The application shall ask the user to confirm dropping a player or trading a player before performing the action.',US,
'The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.',PE,
'The application shall run on a web application server.',O,
'A primary database will be used to store cached data for active users.',O,
'A secondary database will be used to store historical statistics and data.',O,
'98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space: 400MB.',O,
'98% of the user workstations shall meet the minimum software requirements prior to implementation: Microsoft Internet Explorer 5.0. Microsoft .NET Framework 1.1. Microsoft Internet Explorer Web Controls',O,
'The RFS system should be able to easily interface with the BDW environment in order to load the data. • 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.',O,
'Only authorized user shall access the RFS system. ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it.',SE,
'User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..',SE,
'The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion. With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time.',US,
'The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.',PE,
The system shall be evoked by typing “pine” into a command or shell prompt.,O,
The system shall use the SMTP mail protocol.,O,
The system shall have a help system that offers tips and explanation for each screen and each item on the screens upon demand.,US,
The meeting scheduler shall be accessed from the Web.,O,
The system must be easy to use by both managers and chefs such that they do not need to read an extensive amount of manuals.,US,
The system must be quickly accessible by both managers and chefs.,US,
The system must be intuitive and simple in the way it displays all relevant data and relationships.,US,
The menus of the system must be easily navigable by the users with buttons that are easy to understand.,US,
All Web pages generated by the system shall be fully downloadable in no more than 10 seconds over a 40KBps modem connection.,PE,
Responses to queries shall take no longer than 7 seconds to load onto the screen after the user submits the query.,PE,
The system shall display confirmation messages to users within 4 seconds after the user submits information to the system.,PE,
All network transactions that involve financial information or personally identifiable information shall be encrypted.,SE,
Patrons shall log in according to the restricted computer system access policy.,SE,
Only users who have been authorized for home access to the corporate Intranet may use the COS from non-company locations.,SE,
System security and access levels are provided in the online system. There are varying levels of system access and functional authority. Each student’s access is limited to his/her own registration records. Only authorized system administrator(s) has access to all student registration records.,SE,
All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.,O,
95% of users will not need to read the user manual to be able to use the application.,US,
The system shall allow the user to scroll the campus map from the campus map tab.,US,
The system shall provide a way to return to the startup screen.,US,
The system shall utilise periodic 30-second keep-alive messages between tablets and the server to monitor tablet operational status.,O,
A waiter password used for tablet login must have a bit-strength of at least 64 bits.,SE,
A waiter password used for tablet login must be changed every three months.,SE,
A waiter shall only be able to log into one tablet at any given instance of time.,SE,
A waiter that attempts to log into a second tablet while already logged into another tablet shall be rejected and notified through both tablets.,SE,
A display shall not require a user to log in.,SE,
A surface computer shall not require a user to log in.,SE,
A tablet shall require a user to log in using a username and password.,SE,
Responses to view information shall take no longer than 5 seconds to appear on the screen.,PE,
System will use secured database.,SE,
Unauthorised users can only read data without modifying anything.,SE,
Information transmission should be securely transmitted to server without any changes in information.,SE,
Flea Market system will interface with the web server and RDBMS software using APIs provided by the implementation language,O,
All transactions at the Flea Market require a valid user ID and password.,SE,
Secure data transfer over the Internet could be provided using SSL encryption that will be configured by the host system administrator.,SE,
The IP addresses where the transaction was made from will be logged.,SE,
User passwords will be stored in the database in an encrypted format.,SE,
It must only update the parts that have changed when connecting to the server.,O,
It must be able to change and update information on the server.,O,
The application must log the user out when it is exited.,SE,
A correct combination of username and password is required for a user to login.,SE,
Logout must be automatic after 1 hour of inactivity.,SE,
Full data backups must be created daily.,SE,
Each account must securely store all of its data.,SE,
The system should have to keep the location where the doughnut will be send.,O,
The system use SSL (secured socket layer) in all transactions that include any confidential customer information.,SE,
The system must automatically log out all customers after a period of inactivity.,SE,
The system should not leave any cookies on the customer’s computer containing the user’s password.,SE,
The system’s back-end servers shall only be accessible to authenticated administrators.,SE,
Sensitive data will be encrypted before being sent over insecure connections like the internet.,SE,
The system provides storage of all databases on redundant computers with automatic switchover.,O,
The system should be able to manage all the information incoming from the database and the catalogue.,O,
For the system to successfully operate the registration system should be integrated with other IT services and the portal.,O,
The system should need to be entirely self-supporting since the users would be using it only to register courses.,US,
Everyone (stakeholders and guests) can have access to the system and the catalogue. Every client must have secure and private access to his/her data. The  and the service man can have access to every part of the system. All these accesses (except the “guest tour” access) require identification through ID and password.,SE,
The system will develop a security system that will reduce to the minimum the possibility of corruption from systems and/or humans.,SE,
The software system needs a robust security mechanism in place so that unauthorized users are not allowed access to parts of the system.,SE,
Each user shall either be trusted or not trusted.,SE,
High level of performance requires high speed network and high level of connectivity.,PE,
The available server must be reliable and the network connectivity in the supermarket should be proper for smooth flow of all operations and data.,O,
Every user of the software is provided a unique login ID and a password which is stored in the database hashed by SHA2 algorithm.,SE,
System use shall not cause any harm to human users.,SE,
System will use secured database,SE,
Normal users can just read information but they cannot edit or modify anything except their personal and some other information.,SE,
System will have different types of users and every user has access constraints.,SE,
Customers must have a valid login id to enter into the site.,SE,
The system is expected to have reasonable short time response. The voter should be able to login and should be able to get response for his requests in 2-3 seconds.,PE,
The data transaction between client and server must be encrypted using SSL technology.,SE,
All the passwords that are generated or accepted must be stored in database in an encrypted form.,SE,
To prevent attacks the system should generate random word and ask the user to enter it correctly for multiple tryings.,SE,
All users of the system shall login using some form of unique identification.,SE,
All login attempts shall be done so in a secure manner.,SE,
The system shall be compatible with the Microsoft Windows Operating System.,O,
The web application shall add no more than 5 seconds of perceivable overhead time to any necessary web and database transaction time.,PE,
The system shall utilize HTTPS communication to ensure data confidentiality.,SE,
User authentication and privileges are defined outside the scope of the sytem by the Microsoft Active Directroy Server.,SE,
Personal information security is defined outside the scope of the SDMS by the database server.,SE,
Users shall be required to log into the system for all operations except the operations on the login page.,SE,
The system shall provide a digital image for each product in the product catalog.,US,
The system shall provide use of icons and toolbars.,US,
The system shall provide handicap access.,US,
The system shall provide multi language support.,US,
The product shall be based on web and has to be run from a web server.,O,
The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.,PE,
The performance shall depend upon hardware components of the client/customer.,PE,
The system shall use secure sockets in all transactions that include any confidential customer information.,SE,
The system shall automatically log out all customers after a period of inactivity.,SE,
The system shall confirm all transactions with the customer’s web browser.,US,
The system shall not leave any cookies on the customer’s computer containing the user’s password.,SE,
The system shall not leave any cookies on the customer’s computer containing any of the user’s confidential information.,SE,
The customer’s web browser shall never display a customer’s password.  It shall always be echoed with special characters representing typed characters.,SE,
The customer’s web browser shall never display a customer’s credit card number after retrieving from the database.  It shall always be shown with just the last 4 digits of the credit card number.,SE,
The system’s back-end servers shall never display a customer’s password.  The customer’s password may be reset but never shown.,SE,
The system’s back-end databases shall be encrypted.,SE,
The system will use a single password per user to login to the E-Store System.,SE,
The system shall use secure socket layer (SSL) technology to ensure all payments made online and user logins are secure.,SE,
Any page of the application should not take more than 6 seconds to load on a DSL broadband connection.,PE,
The system may be throttled or slowed down on heavy loads to ensure service for everybody. By throttling is meant that certain functionality may be unavailable during heavy server load.,PE,
The application should be able to support 100 concurrent users without any performance degradation.,PE,
A secure server will be required to ensure confidentiality of customer’s credit card and other details.,SE,
The user interface of the system should be very user friendly. ,US,
It should not take more than 120 seconds for a new user to register for an account.,US,
It should not take more than 90 seconds for a registered user to place an order.,US,
The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout  ,US,
The system shall support up to 10000 simultaneous users against the central database at any given time and up to 5000 simultaneous users against the local servers at any one time. The performance of the website must be optimal incase of huge loads and hence appropriate load balancing must be done to achieve this. There can be any number of mirror servers readily available in case of huge loads without the user getting any delay.,PE,
The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,SE,
