ProjectID,RequirementText,IsFunctional,IsQuality
1,User shall be able to display and hide Attributes Panel containing list of custom attributes of the selected requirement in the Requirements Table,1,0
1,User shall be able to display and hide Discussion Panel containing all comments for the selected requirement in the Requirement Table.,1,0
1,Comments in the discussion shall be sorted by date in ascending order,1,0
1,"Each comment shall display date, author and the comment description",1,0
1,User shall be able to expand and collapse all comments in Discussion panel.,1,0
1,User shall be able to display and hide Links panel containing list of all incoming and outgoing links related to the selected requirement in the Requirements Table grouped by link types,1,0
1,User shall be able to display and hide History panel containing all changes for a selected requirement in the Requirements Table,1,0
1,User shall be able to expand and collapse all changes in the History Panel.,1,0
1,"User shall be able to insert a new object before, after or as a child of a selected requirement",1,0
1,"User shall be able to copy a selected object including its children before, after or as a child of another object",1,0
1,"User shall be able to move selected objects including their children before, after or as child of another object",1,0
1,User shall be able to mark a requirement including all its children as deleted.,1,0
1,User shall be able to undelete a selected requirement including all its children,1,0
1,User shall be able to permanently remove selected deleted requirements or all deleted requirements from document,1,0
1,User shall be able to edit object heading,1,0
1,"User shall be able to edit requirement text description using following rich text formatting: bold, italic, underline or strikethrough text; numbered list; bullet list; increase or decrease list indent; URL link",1,0
1,User shall be able to define custom object attributes presented as extra columns in the Requirements Table,1,1
1,"Each custom object attribute shall have one of following types: bool, int, real, string, date, enum, xhtml",0,0
1,Each custom object attribute can have a text field presented to the user as column heading,1,0
1,Each custom object attribute can be set as read only in which case user shall be prevented of changing its value for any requirement,1,0
1,User shall be able to add a new comment for the selected object in Requirements Table.,1,0
1,"New comments shall be stored with the current date and time, and author contact details name, email and company (see User Settings).",1,0
1,"User shall be able to attach to a selected requirement one or more images or documents (PDF, Word, Excel, Powerpoint, Visio, ...).",1,0
1,"If a requirement has an attachment it shall be shown in the Requirements Table under requirement's text. Image attachments shall be displayed as embedded pictures, for other type of attachments at least file name shall be displayed.",1,1
1,User shall be able to open chosen attached PDF document in the browser,1,1
1,User shall be able to download chosen attached document to the local file system,1,0
1,User shall be able to update the attachment,1,0
1,User shall be able to delete any chosen attachment,1,0
1,User shall be able to create a directed link between requirements in the same document,1,0
1,User shall be able to create a directed link between objects in two different documents,1,0
1,User shall be able to display column summarizing all incoming and outgoing links. Each link shall be presented by ID of the linked object and short summary of its description,1,0
1,User shall be able to delete a selected link.,1,0
1,User shall be able to follow link in order to navigate to the linked object,1,0
1,User shall be able to filter all requirements by the given value of any attribute,1,0
1,User shall be able to input up to 10 filtering criterions. Each criterion can be a text keyword or name of attribute with the matched value,1,0
1,"Criterions can be connected into logical clauses using AND, OR and NOT operators",1,0
1,User shall be able to filter only changed requirements from the version stored in the last opened ReqView document,1,0
1,User shall be able to choose if he wants to present the found requirements with or without their structure (all parent section headings on all levels),1,0
1,User shall be able to search requirements with an attribute matching a string keyword by means of the Full Text Search (FTS).,1,0
1,The document words shall be matched if they have the same prefix as an input keyword without respecting the case,1,0
1,User shall get visual information if requirements changed from the original version,1,0
1,The application shall show change indicator for requirements changed from the version stored in the opened ReqView document,1,1
1,Each change to any of requirement attributes shall be saved into History of Changes,1,1
1,"ReqView shall track for each change information about change date, reviewer, changed attribute name and changed attribute original value and value after the modification",1,1
1,User shall be able to clear the history of all requirements in the document,1,0
1,User shall be able to print the current document,1,0
1,User shall be able to export the printout to PDF,1,1
1,The print layout shall have the same layout as the displayed Requirements Table including displayed columns and filtered rows,0,1
1,ReqView Desktop shall start in less than 10s. The very first time it shall start in less than 30s.,0,1
1,"User shall be able to work with documents up to 1000 objects, 100 file attachments and 100MB in size",0,1
1,Response time for common edit operations (change attributes and structure) shall be less than 1s.,0,1
1,Opening or saving a local file shall took less than 10s.,0,1
1,Scrolling requirements table shall be smooth with jerks shorter than 200ms,0,1
1,The application data shall be stored in a secure storage which is not accessible by other system or web applications,0,1
1,The application shall not send any project data to the internet (except upload of document to Google Drive by the user).,0,1
